Which EPA Section is This From?,Name of Water Source,Date of Water Sampling,Longitude,Latitude,US EPA Risk Rating,Amount of Aluminum (Al),Exceedance of Aluminum (Al)?,Amount of Antimony (Sb),Exceedance of of Antimony (Sb)?,Amount of Arsenic (As),Exceedance of Arsenic (As)?,Amount of Barium (Ba),Exceedance of Barium (Ba)?,Amount of Beryllium (Be),Exceedance of Beryllium (Be)?,Amount of Cadmium (Cd),Exceedance of Cadmium (Cd)?,Amount of Chromium (Cr),Exceedance of Chromium (Cr)?,Amount of Copper (Cu),Exceedance of Copper (Cu)?,Amount of Iron (Fe),Exceedance of Iron (Fe)?,Amount of Lead (Pb),Exceedance of Lead (Pb)?,Amount of Manganese (Mn),Exceedance of Manganese (Mn)?,Amount of Mercury (Hg),Exceedance of Mercury (Hg)?,Amount of Nickel (Ni),Exceedance of Nickel (Ni)?,Amount of Selenium (Se),Exceedance of Selenium (Se)?,Amount of Silver (Ag),Exceedance of Silver (Ag)?,Amount of Thallium (TI),Exceedance of Thallium (TI)?,Amount of Vanadium (V),Exceedance of Vanadium (V)?,Amount of Zinc (Zn),Exceedance of Zinc (Zn)?,Amount of Alpha Particles,Alpha Particle Exceedance?,Amount of Beta Particles,Beta Particle Exceedance?,Amount of Lead210,Exceedance of Lead210?,Amount of Radium226,Exceedance of of Radium226?,Amount of Radium228,Exceedance of Radium228?,Amount of Thorium228,Exceedance of Thorium228?,Amount of Thorium230,Exceedance of Thorium230?,Amount of Thorium232,Exceedance of Thorium232?,Amount of Uranium234,Exceedance of Uranium234?,Amount of Uranium235,Exceedance of Uranium235?,Amount of Uranium238,Exceedance of Uranium238?
Section 3,Gold Spring,1/19/00,111 4 28.4861,35 46 4.19761,Some Risk,1540,"Yes (Above 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0.5,No (Below 50 micrograms/liter),34.4,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",942,Yes (Above 300 micrograms/liter),2.1,No (Below 15 micrograms/liter),129,Yes (Above 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),1.3,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),5.9,No (Below 260 micrograms/liter),13.4,"No (Below 5,000 micrograms/liter)",2.1,No (Below 15 pico-curies/liter),10.5,No (Below 50 pico-curies/liter),0.2,Yes (Above 0.047 pico-curies/liter),0,No (Below 5 Pico-curies per Liter),0.5,No (Below 5 pico-curies/liter),0.3,Yes (Above 0.21 pico-curies/liter),0.5,No (Below 1.3 pico-curies/liter),0.2,No (Below 1.5 pico-curies/liter),1.7,No (Below 20 pico-curies/liter),0,No (Below 20 pico-curies/liter),1.8,No (Below 20 pico-curies/liter)
Section 3,Tank 3K-331,7/27/98,111 24 24.948,35 46 8.28541,Some Risk,63.5,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),28.6,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),5.9,"No (Below 1,300 micrograms/liter)",275,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),25.4,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),"1,610.00","No (Below 5,000 micrograms/liter)",-1.15,No (Below 15 pico-curies/liter),3.71,No (Below 50 pico-curies/liter),1.06,Yes (Above 0.047 pico-curies/liter),0.586,No (Below 5 Pico-curies per Liter),1.54,No (Below 5 pico-curies/liter),0.054,No (Below 0.21 pico-curies/liter),0.017,No (Below 1.3 pico-curies/liter),-0.002,No (Below 1.5 pico-curies/liter),1.79,No (Below 20 pico-curies/liter),-0.024,No (Below 20 pico-curies/liter),0.43,No (Below 20 pico-curies/liter)
Section 6,Lower Greasewood Chapter House,4/14/99,109 51 14.651,35 31 42.8555,Less Risk,23.6,"No (Below 1,000 micrograms/liter)",5.6,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),"1,120.00","Yes (Above 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),53,"No (Below 1,300 micrograms/liter)",218,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),48.6,No (Below 50 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0,No (Below 260 micrograms/liter),24.3,"No (Below 5,000 micrograms/liter)",0.34,No (Below 15 pico-curies/liter),5.25,No (Below 50 pico-curies/liter),0.4,Yes (Above 0.047 pico-curies/liter),0.058,No (Below 5 Pico-curies per Liter),0.591,No (Below 5 pico-curies/liter),0.015,No (Below 0.21 pico-curies/liter),0.004,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),0.2,No (Below 20 pico-curies/liter),0,No (Below 20 pico-curies/liter),0.02,No (Below 20 pico-curies/liter)
Section 7,Tank 8T-549,10/9/98,110 12 49.674,36 39 41.6148,Some Risk,106,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),8.8,No (Below 50 micrograms/liter),2.4,"No (Below 1,000 micrograms/liter)",0.5,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",346,Yes (Above 300 micrograms/liter),3.5,No (Below 15 micrograms/liter),3.6,No (Below 50 micrograms/liter),0.1,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),18.7,No (Below 260 micrograms/liter),307,"No (Below 5,000 micrograms/liter)",1.43,No (Below 15 pico-curies/liter),0.99,No (Below 50 pico-curies/liter),0.5,Yes (Above 0.047 pico-curies/liter),0.022,No (Below 5 Pico-curies per Liter),0.183,No (Below 5 pico-curies/liter),0.015,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),1.27,No (Below 20 pico-curies/liter),0.04,No (Below 20 pico-curies/liter),0.6,No (Below 20 pico-curies/liter)
Section 6,Cedar Spring,7/13/98,110 21 54.736,35 27 4.00320,Less Risk,88.8,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),8.4,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",734,Yes (Above 300 micrograms/liter),0,No (Below 15 micrograms/liter),97.4,Yes (Above 50 micrograms/liter),0.019,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),14.9,No (Below 260 micrograms/liter),57.5,"No (Below 5,000 micrograms/liter)",1.54,No (Below 15 pico-curies/liter),6.29,No (Below 50 pico-curies/liter),0.42,Yes (Above 0.047 pico-curies/liter),0.032,No (Below 5 Pico-curies per Liter),0.439,No (Below 5 pico-curies/liter),-0.004,No (Below 0.21 pico-curies/liter),0.006,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),0.97,No (Below 20 pico-curies/liter),0.089,No (Below 20 pico-curies/liter),0.22,No (Below 20 pico-curies/liter)
Section 7,Tank 8AI-1,9/21/98,110 18 34.589,37 1 17.04720,Less Risk,98.1,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),27.7,"No (Below 1,000 micrograms/liter)",0.1,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),29.2,"No (Below 1,300 micrograms/liter)",325,Yes (Above 300 micrograms/liter),1.6,No (Below 15 micrograms/liter),14.8,No (Below 50 micrograms/liter),0.13,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),18.4,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),2.2,No (Below 260 micrograms/liter),105,"No (Below 5,000 micrograms/liter)",6,No (Below 15 pico-curies/liter),7.23,No (Below 50 pico-curies/liter),0.51,Yes (Above 0.047 pico-curies/liter),0.061,No (Below 5 Pico-curies per Liter),0.892,No (Below 5 pico-curies/liter),0.007,No (Below 0.21 pico-curies/liter),0.007,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),2.75,No (Below 20 pico-curies/liter),0.111,No (Below 20 pico-curies/liter),2.22,No (Below 20 pico-curies/liter)
Section 6,Coyote Spring,7/8/98,110 27 58.443,35 20 37.1915,Some Risk,67,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),6.4,No (Below 50 micrograms/liter),30.5,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),0,"No (Below 1,300 micrograms/liter)",0,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),0.6,No (Below 50 micrograms/liter),0.013,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),5.8,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),21.9,No (Below 260 micrograms/liter),13.2,"No (Below 5,000 micrograms/liter)",3.7,No (Below 15 pico-curies/liter),5.29,No (Below 50 pico-curies/liter),4.68,Yes (Above 0.047 pico-curies/liter),0.106,No (Below 5 Pico-curies per Liter),0.565,No (Below 5 pico-curies/liter),0.024,No (Below 0.21 pico-curies/liter),0.016,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),2.14,No (Below 20 pico-curies/liter),-0.004,No (Below 20 pico-curies/liter),0.77,No (Below 20 pico-curies/liter)
Section 2,9T-523,3/18/99,109 10 51.933,36 55 24.6173,Less Risk,30.7,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),0,No (Below 50 micrograms/liter),68.2,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),3.9,"No (Below 1,300 micrograms/liter)",231,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),32,No (Below 50 micrograms/liter),0.074,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0.6,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),0.7,No (Below 260 micrograms/liter),83.4,"No (Below 5,000 micrograms/liter)",0.79,No (Below 15 pico-curies/liter),4.07,No (Below 50 pico-curies/liter),0.36,Yes (Above 0.047 pico-curies/liter),0.342,No (Below 5 Pico-curies per Liter),0.065,No (Below 5 pico-curies/liter),0.005,No (Below 0.21 pico-curies/liter),0,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),0.25,No (Below 20 pico-curies/liter),0,No (Below 20 pico-curies/liter),0.03,No (Below 20 pico-curies/liter)
Section 6,Chimney Butte Spring,7/14/98,110 25 20.890,35 19 17.4690,Some Risk,74,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),19.6,No (Below 50 micrograms/liter),54.6,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),14,"No (Below 1,300 micrograms/liter)",46.2,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),1.3,No (Below 50 micrograms/liter),0.017,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),3,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),0,No (Below 2 micrograms/liter),92.1,No (Below 260 micrograms/liter),"1,740.00","No (Below 5,000 micrograms/liter)",6.47,No (Below 15 pico-curies/liter),7.6,No (Below 50 pico-curies/liter),0.88,Yes (Above 0.047 pico-curies/liter),0.059,No (Below 5 Pico-curies per Liter),0.353,No (Below 5 pico-curies/liter),0.018,No (Below 0.21 pico-curies/liter),0.01,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),3.32,No (Below 20 pico-curies/liter),0.177,No (Below 20 pico-curies/liter),1.76,No (Below 20 pico-curies/liter)
Section 5,Nazlini Chapter House,11/17/98,109 26 41.176,35 53 56.5847,Some Risk,75,"No (Below 1,000 micrograms/liter)",0,No (Below 6 micrograms/liter),2.7,No (Below 50 micrograms/liter),115,"No (Below 1,000 micrograms/liter)",0,No (Below 4 micrograms/liter),0,No (Below 5 micrograms/liter),0,No (Below 100 micrograms/liter),17.2,"No (Below 1,300 micrograms/liter)",40.4,No (Below 300 micrograms/liter),0,No (Below 15 micrograms/liter),1,No (Below 50 micrograms/liter),0.059,No (Below 2 micrograms/liter),0,No (Below 730 micrograms/liter),0,No (Below 50 micrograms/liter),0,No (Below 100 micrograms/liter),4,Yes (Above 2 micrograms/liter),5.1,No (Below 260 micrograms/liter),231,"No (Below 5,000 micrograms/liter)",10.4,No (Below 15 pico-curies/liter),6.71,No (Below 50 pico-curies/liter),0.46,Yes (Above 0.047 pico-curies/liter),0.208,No (Below 5 Pico-curies per Liter),0.975,No (Below 5 pico-curies/liter),0.028,No (Below 0.21 pico-curies/liter),0.022,No (Below 1.3 pico-curies/liter),0,No (Below 1.5 pico-curies/liter),5.44,No (Below 20 pico-curies/liter),0.08,No (Below 20 pico-curies/liter),2.91,No (Below 20 pico-curies/liter)
